ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
23,5,271.0,2,42.2,6,147.9,0.0,0.036363636,0.0,0.0,5,5,10,3,4,1,1,0
24,5,100.9166667,0,0.0,56,1432.223333,0.0,0.002185792,69.43043195,0.0,1,1,10,6,12,2,1,1
25,1,5.066666667,0,0.0,32,441.6045455,0.0,0.00625,0.0,0.0,6,1,10,1,12,1,0,0
26,0,0.0,0,0.0,6,60.0,0.15,0.13888888900000002,0.0,0.0,8,5,10,8,8,2,0,0
27,2,14.0,0,0.0,58,1806.5041670000005,0.013793103,0.026819923,0.0,0.8,2,1,10,5,2,2,0,0
28,5,335.8,0,0.0,20,910.41,0.0,0.003333333,0.0,0.0,8,1,10,2,4,1,1,0
29,6,171.11904760000004,0,0.0,22,472.752381,0.028571429,0.029761905,0.0,0.0,8,5,10,5,7,2,0,0
30,0,0.0,0,0.0,3,34.0,0.0,0.066666667,0.0,0.0,2,1,10,6,8,2,0,0
31,0,0.0,0,0.0,19,577.5416667000002,0.0,0.011764706000000002,90.9285217,0.0,8,1,10,0,4,2,0,1
32,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,4,5,10,0,7,2,1,0
33,6,94.1,0,0.0,92,4212.141886,0.008333333,0.021875,6.664927724,0.0,8,3,3,0,4,2,1,1
34,2,27.46666667,3,245.8,28,524.06,0.02,0.054666667,20.42600013,0.0,7,1,10,3,8,2,0,1
35,1,18.0,4,123.5,24,4114.083333,0.0,0.003571429,20.91831644,0.0,1,3,3,0,4,1,0,1
36,5,488.462963,0,0.0,56,3327.537566,0.006578947,0.022060248,0.0,0.0,9,1,10,6,8,2,0,0
37,2,9.0,0,0.0,38,1147.696667,0.0,0.027642276,3.673829068,0.0,3,1,10,2,8,2,0,1
38,4,250.8571429,1,37.5,71,1145.571429,0.0,0.0040540540000000005,80.58733784,0.0,2,1,1,0,8,2,0,0
39,0,0.0,0,0.0,3,54.5,0.0,0.066666667,0.0,0.6,2,1,1,6,4,2,0,0
40,7,214.25,0,0.0,118,2652.552904,0.001652893,0.010020661,0.0,0.0,8,1,10,2,5,2,0,0
41,11,82.23484848,0,0.0,440,9951.869139,0.00185022,0.01009842,1.558381388,1.0,2,1,10,0,18,2,1,0
42,1,34.0,2,9.0,3,149.0,0.0,0.05,0.0,0.0,1,1,10,0,8,2,0,0
43,0,0.0,0,0.0,7,649.5,0.028571429,0.05714285700000001,0.0,0.0,9,1,10,2,4,1,0,1
44,1,0.0,2,30.26666667,33,835.3,0.005714286,0.028571429,2.159096645,0.0,7,1,7,0,8,2,1,1
45,3,183.0,0,0.0,190,6375.065753,0.00938918,0.020211611,0.0,0.0,8,1,10,0,4,2,0,0
46,0,0.0,0,0.0,14,999.0,0.0,0.023076923,8.482951522999999,0.0,9,1,10,6,2,2,0,1
47,2,91.9,0,0.0,6,273.8,0.0,0.005,0.0,0.0,6,5,10,0,4,1,1,0
48,5,116.1,3,97.66666667,170,5639.22176,0.002457143,0.01109801,0.0,0.0,9,1,10,3,4,2,0,0
49,0,0.0,0,0.0,2,7.0,0.0,0.1,0.0,0.0,1,1,10,0,8,2,0,0
50,15,365.1111111,4,848.4166667000003,113,5882.1742060000015,0.0,0.006584896999999999,1.033764021,0.0,2,1,10,6,4,2,0,0
51,0,0.0,0,0.0,24,1268.0,0.0125,0.015277778,0.0,0.0,1,0,3,6,4,2,1,0
52,0,0.0,0,0.0,12,234.0,0.015384615,0.053846154000000014,0.0,0.0,2,1,10,2,1,2,1,0
53,0,0.0,0,0.0,32,2632.7,0.00625,0.013541667,0.0,0.0,8,3,3,0,12,2,1,0
54,0,0.0,0,0.0,62,4391.666667,0.003174603,0.014814815,0.0,0.0,3,1,4,5,8,2,0,0
55,9,64.5,3,99.6,33,768.4133333,0.004878049000000001,0.013617886,41.34613116,0.0,6,1,10,2,4,2,0,0
56,2,85.5,0,0.0,42,1741.483333,0.0,0.002051282,27.12804201,0.0,1,1,4,0,8,2,0,0
57,2,196.6,0,0.0,31,1514.3,0.036363636,0.066666667,0.0,0.0,5,3,11,3,8,2,1,0
58,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,8,6,3,0,12,2,0,0
59,1,4.0,2,102.0,31,624.5833332999998,0.016216216000000002,0.031531532,8.708324324,0.0,1,1,10,6,14,2,1,0
60,0,0.0,0,0.0,4,44.0,0.0,0.05,0.0,0.0,2,1,10,5,8,2,0,0
61,0,0.0,0,0.0,19,661.5,0.031578947,0.052631579000000005,0.0,0.0,8,1,10,0,8,2,0,0
62,3,74.5,1,88.0,113,3770.021698,0.008004925999999999,0.019004516000000003,14.85051676,0.0,9,5,10,0,8,2,1,0
63,0,0.0,3,29.0,41,1652.75,0.013636364,0.035119048,0.0,0.0,2,1,10,2,7,2,1,0
64,1,4.0,0,0.0,14,333.9,0.0,0.007142857,24.50485714,0.0,2,5,10,5,2,1,0,1
65,0,0.0,0,0.0,6,72.0,0.0,0.05,0.0,0.8,2,1,10,2,7,2,0,0
66,1,19.0,0,0.0,40,1361.166667,0.005,0.0225,0.0,0.0,1,0,3,5,12,2,1,0
67,0,0.0,0,0.0,14,825.3333332999998,0.0,0.0,50.4111604,0.0,5,1,10,7,7,2,0,1
68,2,29.86666667,2,99.6,13,534.4833333,0.0,0.004166667,0.0,0.0,7,3,3,5,4,1,0,0
69,4,135.66666669999998,0,0.0,28,615.8166667,0.007407406999999999,0.016049383,0.0,0.0,2,3,3,0,7,2,0,0
70,8,119.0,0,0.0,31,1273.875,0.0,0.003921569000000001,12.63441176,0.0,2,1,1,0,12,1,0,1
71,0,0.0,0,0.0,4,536.5,0.0,0.05,0.0,0.0,2,1,10,4,4,2,0,0
72,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,0,1,10,5,12,2,0,0
73,0,0.0,0,0.0,3,81.0,0.0,0.066666667,0.0,0.0,1,3,3,0,8,2,0,0
74,11,281.3333333,0,0.0,41,1167.95,0.0,0.011347518,7.907379545,0.0,8,3,3,6,4,1,1,1
75,3,67.86666667,2,12.0,16,393.0,0.0,0.015,0.0,0.0,6,1,4,0,3,1,0,0
76,7,131.8333333,0,0.0,63,2074.611111,0.010793651,0.02000962,0.0,0.0,9,5,10,6,5,2,0,0
77,0,0.0,0,0.0,20,724.1333333,0.074074074,0.083333333,0.0,0.6,2,5,9,6,7,2,0,0
78,0,0.0,0,0.0,6,25.0,0.133333333,0.122222222,0.0,0.0,2,5,10,6,7,2,0,0
79,4,99.125,0,0.0,38,876.3,0.0,0.0175,0.0,0.0,8,0,3,3,12,2,0,0
80,0,0.0,0,0.0,15,296.0,0.0,0.04,0.0,0.0,1,1,7,5,12,2,0,0
81,2,15.0,0,0.0,13,77.0,0.014285714,0.028571429,0.0,0.0,1,1,10,4,8,2,0,0
82,0,0.0,0,0.0,20,1002.366667,0.0,0.007894736999999999,47.57898514,0.0,7,1,10,2,4,2,1,1
83,4,103.0,0,0.0,31,831.6666667000002,0.03030303,0.042121212000000005,0.0,0.0,2,5,10,1,14,2,0,0
84,0,0.0,2,52.0,12,699.25,0.023809524,0.028571429,0.0,0.0,2,3,3,6,12,2,0,0
85,0,0.0,4,82.5,22,1087.986111,0.007692308,0.020244755,0.0,0.0,8,5,10,6,4,2,0,0
86,0,0.0,0,0.0,27,1070.461905,0.0,0.007407406999999999,57.72936039999999,0.0,1,1,10,6,4,2,0,1
87,0,0.0,0,0.0,17,649.02,0.0,0.017647059,0.0,0.0,3,1,1,6,12,2,0,0
88,0,0.0,0,0.0,5,155.0,0.04,0.053333333,0.0,0.0,1,1,10,0,4,2,0,0
89,0,0.0,0,0.0,26,470.81666669999987,0.005128205,0.042307692,0.0,0.0,8,5,10,2,15,2,1,0
90,0,0.0,0,0.0,22,1076.65,0.023809524,0.036507937,10.7869918,0.0,5,1,10,5,8,2,0,1
91,1,19.2,0,0.0,55,3134.066667,0.0,0.006666666999999999,5.767419658,0.0,5,1,1,0,8,2,1,0
92,5,178.92,1,6.0,33,1017.576667,0.013157895,0.011842105,0.0,0.0,8,5,10,0,12,2,0,0
93,2,107.4,2,96.7,32,833.325,0.024509804,0.035882353,0.0,0.0,4,5,10,2,8,2,0,1
94,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,10,0,12,2,0,0
95,0,0.0,0,0.0,40,974.0833332999997,0.006837607,0.028205128,0.0,0.0,8,1,10,0,12,2,0,0
96,2,210.0,0,0.0,10,591.1666667000002,0.02,0.016,0.0,0.0,1,5,10,0,4,2,0,0
97,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.2,0,5,10,6,12,2,0,0
98,1,22.0,0,0.0,2,5.0,0.0,0.066666667,0.0,0.0,2,1,10,6,7,2,0,0
99,0,0.0,0,0.0,21,615.8831169,0.033333333,0.04993081,0.0,0.0,0,5,10,5,8,2,1,0
100,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,5,9,2,7,2,0,0
101,12,295.9619048,1,0.0,45,2033.845238,0.0,0.007154088,21.23244876,0.0,8,1,10,4,4,2,0,0
102,1,4.0,0,0.0,37,1096.75,0.0,0.020175439,0.0,0.0,1,1,10,1,5,2,0,0
103,0,0.0,0,0.0,28,558.4761905,0.016666667,0.016309524,0.0,0.0,8,3,3,5,4,2,0,0
104,0,0.0,0,0.0,30,677.9166667000002,0.006666666999999999,0.013333333,0.0,0.0,8,5,10,0,4,2,1,0
105,4,934.5,1,92.0,18,937.7166667,0.0,0.005555556,0.0,0.0,9,3,3,1,4,1,0,0
106,2,90.0,1,47.5,40,1186.141667,0.0,0.013821138,0.0,0.0,8,1,4,6,4,2,0,0
107,0,0.0,0,0.0,12,197.5,0.0,0.008333333,0.0,0.0,2,1,7,3,8,2,0,0
108,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,10,0,12,2,0,0
109,0,0.0,0,0.0,11,296.45,0.0,0.007792208,0.0,0.0,1,5,10,1,4,2,0,0
110,0,0.0,0,0.0,9,329.0,0.022222222000000003,0.044444444000000013,0.0,0.0,1,1,10,6,8,2,0,0
111,2,53.85,0,0.0,2,161.2,0.0,0.0,0.0,0.0,5,1,1,6,8,2,0,0
112,0,0.0,0,0.0,11,297.25,0.0,0.022222222000000003,0.0,0.0,2,1,10,6,8,2,0,0
113,0,0.0,0,0.0,4,87.875,0.0,0.026666667,0.0,0.0,8,3,3,2,5,2,1,1
114,7,95.17,1,11.1,68,824.1573062000001,0.0,0.006666666999999999,37.68626909,0.0,3,1,10,6,12,2,0,0
115,0,0.0,0,0.0,49,3247.583333,0.025531915,0.037163121,0.0,0.0,9,1,1,4,8,2,1,0
116,1,0.0,0,0.0,58,1200.5,0.002298851,0.017816092,17.98756852,0.0,9,1,4,6,2,2,0,0
117,5,116.2,0,0.0,38,1057.033333,0.030769231,0.05,0.0,0.0,8,3,11,0,8,2,0,0
118,9,275.8,1,39.68,46,1354.8,0.010909091,0.041212121,0.0,0.0,5,1,10,1,12,2,0,0
119,3,67.4,0,0.0,4,51.3,0.0,0.028571429,0.0,0.0,7,1,10,0,4,1,1,0
120,0,0.0,0,0.0,23,195.6666667,0.05,0.086363636,0.0,0.4,2,0,3,0,12,2,0,0
121,1,13.0,1,10.0,18,445.0,0.0,0.0035087720000000003,0.0,0.0,8,3,3,2,12,2,0,0
122,5,153.56666669999996,0,0.0,16,742.2095237999998,0.0,0.015789473999999998,22.89972198,0.0,8,3,3,6,3,1,0,1
123,0,0.0,0,0.0,6,192.0,0.0,0.04,0.0,0.0,1,1,4,2,12,2,0,0
124,0,0.0,0,0.0,91,2058.534091,0.021348315,0.038816034,0.0,1.0,2,1,10,6,14,2,1,0
125,10,312.0,0,0.0,18,782.5,0.0,0.002105263,0.0,0.0,2,5,10,0,16,2,1,0
126,0,0.0,0,0.0,50,1803.768849,0.001360544,0.017428305,3.609398514,0.0,1,1,1,3,12,2,1,1
127,2,40.25,0,0.0,23,766.25,0.008333333,0.025,24.07951908,0.0,9,3,3,5,11,2,1,1
128,0,0.0,0,0.0,6,291.0,0.0,0.033333333,0.0,0.0,8,1,8,3,8,2,0,0
129,3,25.2,0,0.0,54,2008.807143,0.014423077,0.013672299999999998,0.0,0.0,2,5,10,2,14,2,0,0
130,0,0.0,0,0.0,15,1069.7,0.0,0.046666667,0.0,0.0,4,5,10,1,8,2,0,0
131,0,0.0,0,0.0,11,142.41666669999995,0.0,0.036363636,0.0,0.0,2,1,10,0,4,2,0,0
132,1,13.83333333,1,0.0,200,8336.039583,0.004207921,0.017597513000000002,3.730318306,0.0,8,1,7,2,8,2,0,1
133,3,90.5,2,16.0,47,2986.916667,0.022278912,0.044557823,0.0,0.0,9,1,10,7,8,2,0,0
134,2,9.5,0,0.0,18,529.702381,0.0,0.005263158,0.0,0.0,1,1,10,2,4,2,1,0
135,0,0.0,0,0.0,4,149.0,0.0,0.05,0.0,0.0,1,1,10,0,4,2,0,0
136,0,0.0,0,0.0,4,132.5,0.175,0.183333333,0.0,0.0,8,5,10,2,14,2,1,0
137,0,0.0,0,0.0,13,342.9202381,0.0,0.011794872,0.0,0.0,8,5,10,6,4,1,1,0
138,4,47.5,0,0.0,37,839.2083332999997,0.005263158,0.017105263,12.96520279,0.0,8,3,3,0,4,2,0,1
139,0,0.0,0,0.0,6,136.5,0.0,0.033333333,0.0,0.0,1,5,9,0,4,2,0,0
140,0,0.0,1,39.5,357,8864.036841,0.001685393,0.007310889,9.964255807,0.0,8,1,10,0,4,2,0,1
141,0,0.0,0,0.0,6,1038.0,0.033333333,0.066666667,0.0,0.0,9,1,1,0,4,2,0,0
142,2,40.8,0,0.0,45,1668.125238,0.0044444440000000005,0.024107744,47.57360345,0.0,6,3,3,2,4,2,0,0
143,0,0.0,0,0.0,14,158.5,0.0,0.028571429,0.0,0.0,2,1,10,1,2,2,1,0
144,0,0.0,0,0.0,7,284.5,0.0,0.028571429,128.4686939,0.0,9,1,10,2,5,2,0,1
145,0,0.0,0,0.0,5,137.0,0.0,0.04,0.0,0.0,7,1,1,4,4,2,0,0
146,4,131.0,0,0.0,30,548.96,0.005882353000000001,0.026470588,6.929826318,0.0,8,1,10,5,7,2,0,1
147,2,46.5,1,64.5,91,3309.448776,0.013285024,0.020476218,0.0,0.0,8,5,10,0,14,2,1,1
148,3,72.6,0,0.0,17,544.1,0.0,0.002,0.0,0.0,6,1,10,4,4,1,0,0
149,2,14.0,0,0.0,8,57.0,0.0,0.05714285700000001,0.0,0.0,1,3,10,2,11,1,0,0
150,10,164.5,1,3.0,61,2292.679762,0.0,0.009552239,0.0,0.0,1,1,10,0,8,2,0,0
151,9,169.5,2,724.0,31,706.9837662,0.005714286,0.023761905,0.0,0.0,2,3,3,0,8,2,0,0
152,0,0.0,0,0.0,38,1517.416739,0.0,0.004122807,0.0,0.0,8,0,10,2,4,2,0,0
153,5,152.5,0,0.0,15,291.1666667,0.0,0.02,0.0,0.0,9,0,3,0,4,1,1,0
154,1,76.0,0,0.0,19,1263.333333,0.011764706000000002,0.023529412000000003,60.34235294,0.6,2,1,10,0,12,2,0,1
155,0,0.0,0,0.0,33,472.36111110000013,0.012903226,0.014721408,0.0,0.0,8,3,3,4,4,2,0,0
156,4,57.0,0,0.0,10,497.1,0.0,0.009848485,0.0,0.0,2,3,3,7,4,2,0,0
157,0,0.0,0,0.0,2,114.0,0.05,0.066666667,0.0,0.8,0,5,9,0,12,2,0,0
158,0,0.0,0,0.0,5,59.0,0.08,0.12,0.0,0.0,1,1,10,3,8,2,0,0
159,0,0.0,2,47.0,32,898.8333332999997,0.068571429,0.102285714,0.0,0.0,2,5,10,2,8,2,0,0
160,0,0.0,0,0.0,5,182.0,0.0,0.04,0.0,0.0,1,5,10,1,8,2,0,0
161,2,64.75,0,0.0,44,1157.97619,0.0,0.013953488,0.0,0.0,8,1,10,0,5,2,0,0
162,0,0.0,0,0.0,40,3998.333333,0.002439024,0.041869919,0.0,0.0,8,0,10,2,8,2,0,0
163,9,186.5,3,138.75,76,2002.230612,0.0025,0.023333333,0.0,0.0,8,1,10,0,8,2,0,0
164,0,0.0,0,0.0,58,1076.073649,0.0,0.022653941,1.81635021,0.0,6,1,10,6,4,2,0,0
165,0,0.0,0,0.0,41,747.9077778,0.027526132,0.048583043,0.0,0.0,3,3,3,3,12,2,0,0
166,0,0.0,0,0.0,11,188.4583333,0.0,0.009090909,0.0,0.0,8,3,3,0,11,1,0,0
167,3,44.0,0,0.0,15,310.25,0.0125,0.0125,0.0,0.0,9,5,10,6,4,2,1,0
168,2,11.0,0,0.0,11,976.0,0.024358974,0.044688645,0.0,0.0,9,3,3,0,8,2,0,0
169,0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,8,5,10,1,14,2,0,0
170,0,0.0,0,0.0,14,424.33333330000005,0.0,0.007142857,0.0,0.0,9,1,10,5,14,2,0,0
171,5,29.0,0,0.0,4,12.0,0.0,0.033333333,0.0,0.0,1,0,3,0,11,1,1,0
172,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,3,3,6,12,2,0,0
173,3,240.8,1,4.0,13,279.8333333,0.0,0.00625,0.0,0.0,8,5,10,5,4,2,0,0
174,1,41.0,0,0.0,9,314.9,0.0,0.04,0.0,0.0,1,3,3,1,19,1,1,0
175,0,0.0,0,0.0,2,58.4,0.0,0.1,0.0,0.0,7,1,1,0,4,1,0,0
176,8,77.5,0,0.0,35,2518.266667000001,0.01025641,0.012576313,0.0,0.0,4,1,10,5,4,1,1,0
177,0,0.0,0,0.0,38,1593.583333,0.0,0.010526316,0.0,0.0,8,1,10,5,8,2,0,0
178,6,513.8333333,0,0.0,33,2690.333333,0.0,0.01754386,30.21878011,0.0,8,1,1,0,4,2,0,1
179,2,112.8,0,0.0,27,1555.967143,0.0,0.0017241379999999998,44.85638692,0.0,8,3,3,2,4,1,0,1
180,3,119.0,0,0.0,6,197.5,0.022222222000000003,0.022222222000000003,0.0,1.0,2,7,10,6,4,1,1,0
181,9,410.55,0,0.0,57,2791.0606350000007,0.0,0.006917563000000001,13.09195948,0.0,7,1,10,6,4,2,0,0
182,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,7,5,8,2,0,0
183,6,197.8,0,0.0,48,3332.293511,0.0,0.007847222,11.45469444,0.0,1,3,3,0,12,2,0,0
184,0,0.0,2,22.0,41,979.375,0.004651163,0.009302326,0.0,0.0,8,1,10,6,4,2,1,0
185,1,0.0,0,0.0,8,436.0,0.0,0.022222222000000003,0.0,0.0,1,1,1,1,8,2,1,0
186,0,0.0,0,0.0,14,565.3333332999998,0.037619048,0.04952381,0.0,0.0,1,1,8,6,8,2,0,0
187,1,12.1,5,493.0,50,1572.486399,0.0,0.019939881,0.0,0.0,8,1,10,0,4,2,0,0
188,2,28.0,2,175.5,27,1253.333333,0.006666666999999999,0.014666667,39.7173,0.0,1,1,10,0,4,2,0,1
189,0,0.0,0,0.0,88,5093.3,0.0049242420000000005,0.023393841,0.0,0.0,8,1,10,0,4,2,0,0
190,0,0.0,0,0.0,12,317.8333333,0.0,0.005555556,0.0,0.0,0,3,3,0,7,2,1,0
191,3,49.5,0,0.0,27,702.6431623999998,0.015517241,0.027155172,0.0,0.0,8,5,10,6,12,2,0,0
192,0,0.0,0,0.0,2,34.0,0.0,0.1,0.0,0.0,2,1,10,0,7,2,1,0
193,2,10.0,5,53.0,37,1578.0,0.0,0.0125,0.0,0.8,2,1,10,3,7,2,0,0
194,5,134.75,3,16.0,165,6323.853465,0.010654414,0.02804138,3.512852934,0.0,8,3,3,0,4,2,0,1
195,10,664.0866667,3,18.5,26,1494.053333,0.021212121,0.028542569,20.35484005,0.0,8,5,10,0,18,2,0,0
196,3,39.0,0,0.0,30,940.8333332999997,0.012121212,0.024242424,0.0,0.0,1,3,11,6,12,2,0,0
197,1,13.0,0,0.0,19,614.9444444000002,0.0,0.022105263,0.0,0.0,1,5,10,6,12,2,0,0
198,0,0.0,0,0.0,22,562.1666667000002,0.018181818,0.053030303,0.0,0.0,3,1,10,6,12,2,1,0
199,0,0.0,0,0.0,7,137.5,0.0,0.033333333,0.0,0.6,2,1,10,0,12,2,0,0
200,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,5,9,6,12,2,0,0
201,2,75.0,0,0.0,29,1279.089286,0.003333333,0.014166667,35.60912359,0.0,8,1,10,6,15,2,0,1
202,0,0.0,0,0.0,25,1229.25,0.025333333,0.038133333,0.0,1.0,2,5,10,6,7,2,1,0
203,2,671.0,0,0.0,15,1106.0,0.0,0.04,0.0,0.0,9,1,10,2,8,2,0,0
204,0,0.0,5,118.5,17,558.3988095,0.022727273,0.046212121,0.0,0.0,9,3,11,8,15,2,0,0
205,0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,2,1,10,5,12,2,0,0
206,0,0.0,0,0.0,51,1655.358333,0.0,0.013071895,0.0,0.0,8,1,10,0,4,2,1,0
207,0,0.0,0,0.0,15,463.33333330000005,0.035714286,0.046428571,0.0,0.0,2,1,7,0,8,2,0,0
208,0,0.0,0,0.0,8,110.0,0.0,0.0125,0.0,0.0,2,1,7,0,4,2,0,0
209,1,10.0,2,34.0,22,367.3761905,0.0,0.011038961000000002,0.0,0.0,2,3,3,2,2,2,1,0
210,1,54.4,6,505.6,21,838.15,0.0,0.0,0.0,0.0,8,1,10,6,4,1,1,0
211,1,22.0,3,39.0,80,1903.081639,0.007228916,0.032248996,0.0,0.0,9,5,10,0,4,2,0,0
212,4,175.0,0,0.0,15,270.5,0.0,0.006666666999999999,0.0,0.0,1,3,3,3,4,2,0,0
213,0,0.0,0,0.0,10,385.0,0.0,0.022222222000000003,0.0,0.0,9,1,10,6,4,1,1,0
214,0,0.0,0,0.0,18,708.25,0.0,0.045098039000000006,0.0,0.0,1,3,3,0,12,2,0,0
215,3,738.4,0,0.0,14,698.5833332999998,0.007692308,0.021153846,0.0,0.0,2,5,10,7,4,2,0,0
216,6,407.25,4,67.5,14,195.4166667,0.0,0.030434783,0.0,0.0,9,5,10,7,8,2,0,0
217,0,0.0,0,0.0,21,1483.0,0.007894736999999999,0.021754386,0.0,1.0,2,3,3,6,13,2,1,0
218,0,0.0,0,0.0,100,2781.125,0.012,0.037666667,0.0,0.0,9,1,8,6,8,2,0,0
219,0,0.0,0,0.0,9,326.0,0.0,0.055555556,0.0,0.0,2,5,10,2,4,2,0,0
220,5,226.09,0,0.0,37,692.87,0.0,0.001666667,0.0,0.0,7,3,3,2,7,2,0,0
221,0,0.0,0,0.0,10,902.6666667000003,0.0,0.03,0.0,0.0,8,1,10,6,18,2,1,0
222,6,93.0,2,23.0,37,783.875,0.003409091,0.031709957000000004,0.0,0.0,8,1,10,0,15,2,1,0
223,4,381.8,0,0.0,1,31.2,0.0,0.04,0.0,0.0,6,1,1,2,4,2,1,0
224,6,262.25,3,298.0,49,2302.0212420000007,0.00030864200000000003,0.026591844,43.3616369,0.0,1,3,3,0,4,2,0,1
225,0,0.0,0,0.0,2,73.0,0.0,0.05,0.0,0.0,2,3,3,0,12,2,0,0
226,0,0.0,0,0.0,15,325.5,0.02,0.058666667,0.0,0.0,9,1,10,0,8,2,0,0
227,0,0.0,0,0.0,79,1562.866667,0.017721518999999998,0.02124774,0.0,0.8,2,5,10,0,14,2,0,0
228,3,249.0,0,0.0,8,1046.5,0.04,0.04,0.0,0.0,2,3,3,1,7,1,1,0
229,0,0.0,0,0.0,35,1579.333333,0.005714286,0.02,0.0,0.0,8,1,10,0,8,1,0,0
230,0,0.0,0,0.0,14,208.9,0.0,0.014285714,0.0,0.0,8,3,11,2,15,2,1,0
231,0,0.0,0,0.0,4,121.5,0.0,0.05,0.0,0.0,8,3,3,2,11,2,0,0
232,0,0.0,0,0.0,7,314.5,0.033333333,0.066666667,0.0,0.0,1,1,10,6,8,2,0,0
233,3,81.4,0,0.0,18,240.3,0.0,0.030434783,0.0,0.0,5,1,10,0,2,2,0,0
234,0,0.0,0,0.0,4,14.0,0.1,0.15,0.0,0.0,1,5,10,0,8,2,0,0
235,0,0.0,0,0.0,10,211.8333333,0.0,0.04,0.0,0.0,9,1,10,6,14,2,0,0
236,8,112.27,0,0.0,149,4304.366905,0.01025641,0.027991453,0.0,0.0,6,1,7,0,8,2,0,0
237,1,7.0,0,0.0,27,1739.575,0.038095238,0.06037037,0.0,0.0,4,1,10,3,8,2,0,0
238,3,49.4,0,0.0,11,285.6,0.0,0.021428571,0.0,0.0,7,1,10,3,4,2,0,0
239,4,70.25,1,139.5,58,3022.370406,0.0,0.009611111,0.0,0.0,8,3,3,5,4,1,0,1
240,4,66.83333333,0,0.0,125,3075.978608,0.00962963,0.022299824,0.0,0.0,8,1,7,6,8,2,0,1
