,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,Revenue,nf1,nf2,nf3,nf4,nf5,nf6,p1,p2,p3,p4,p5,p6
11,0.3751528,0.074074075,0.036189776,0.0,0.0,0.008510638,0.0027876114,0.0,0.11904762,0.0,0.0,0.22222222,0.71428573,0.8333333,0.0,0.42105263,1.0,1.0,0.0,0.4657829,0.4143177,0.45240775,0.14723478,0.5769119,0.114574045,0.0,0.0,0.0,0.0080807535,0.00034126051,1.4411866e-05
12,0.29481053,0.11111111,0.026686281,0.125,0.025653347,0.018439716,0.016202511,0.1764706,0.24117926,0.06858496,0.0,0.8888889,0.71428573,0.8333333,0.0,0.36842105,1.0,1.0,0.0,0.5245607,0.28655422,0.5484895,0.21760805,0.8432709,0.37264234,0.0027985843,8.040273e-05,2.2146649e-05,0.25724575,0.0073906155,0.00021233078
13,0.5252806,0.0,0.0,0.0,0.0,0.018439716,0.0037228945,0.0,0.03846154,0.0,0.0,0.11111111,0.14285715,0.8333333,0.125,0.21052632,1.0,0.0,0.0,0.41621602,0.35666132,0.6520032,0.8089267,0.53632873,0.28135353,0.0,0.0,0.0,0.0011695914,0.00020283269,3.517561e-05
14,0.8340927,0.0,0.0,0.0,0.0,0.056737587,0.02656698,0.115384616,0.16899766,0.0,0.0,0.8888889,0.14285715,0.8333333,0.75,0.42105263,1.0,1.0,0.0,0.33567956,0.6567526,0.63595027,0.20298399,0.7299271,0.45436564,0.0,0.0,0.0,0.25724575,0.022321874,0.0019369263
15,0.20724525,0.0,0.0,0.0,0.0,0.028368793,0.035499062,0.0,0.125,0.0,0.0,0.11111111,0.14285715,0.8333333,0.0,0.42105263,1.0,0.0,0.0,0.45519224,0.2784466,0.504668,0.8141561,0.40486625,0.45258832,0.0,0.0,0.0,0.0011695914,0.00031053385,8.244868e-05
16,0.97466385,0.2962963,0.13277929,0.41666666,0.37713164,0.1858156,0.03845847,0.01541096,0.10624639,0.008076517,0.0,0.8888889,0.14285715,0.8333333,0.75,0.6315789,1.0,0.0,1.0,0.5818842,0.94848645,0.7216185,0.63991404,0.24429254,0.5602449,4.1153347e-05,1.1028178e-05,0.0002336544,0.25724575,0.068936124,0.018473342
17,0.77475274,0.0,0.0,0.0,0.0,0.0014184397,0.0,1.0,1.0,0.0,0.0,0.8888889,0.14285715,0.8333333,0.0,0.42105263,1.0,0.0,0.0,0.6625473,0.46278134,0.41905445,0.24039383,0.28942773,0.41035277,0.0,0.0,0.0,0.25724575,0.00057333906,1.2778352e-06
18,0.7469719,0.4074074,0.10258323,0.041666668,0.004314783,0.09078014,0.019215595,0.0,0.012469265,0.19083363,0.0,0.11111111,0.14285715,0.8333333,0.0,0.21052632,0.5,0.0,0.0,0.54044163,0.29415834,0.6987594,0.76353335,0.8748559,0.48059723,0.0032139039,0.002650577,0.001318708,0.0011695914,0.0009645878,0.0007955167
19,0.11667963,0.33333334,0.075643495,0.083333336,0.015454769,0.13900709,0.052594263,0.14785479,0.1734562,0.12168456,0.0,0.6666667,0.71428573,0.8333333,0.875,0.7368421,1.0,0.0,0.0,0.9402586,0.5693136,0.64010155,0.52365613,0.32672718,0.5581128,0.0067359013,0.0017162882,0.0019453417,0.13329633,0.03396352,0.008653806
20,0.83820426,0.037037037,0.0017653549,0.041666668,0.002745771,0.035460994,0.009252154,0.0,0.10416666,0.57516336,0.0,0.22222222,0.42857143,0.25,0.875,0.36842105,1.0,1.0,1.0,0.19388723,0.7872297,0.5590236,0.3033686,0.3855732,0.40740687,0.04142688,0.0071938233,0.0005517244,0.0080807535,0.0014032318,0.00024367277
21,0.10001111,0.0,0.0,0.0,0.0,0.018439716,0.002641718,0.07692307,0.20769231,0.0,0.0,0.22222222,0.42857143,0.25,0.375,0.42105263,1.0,0.0,0.0,0.66066587,0.27768666,0.17936552,0.60311705,0.5652531,0.6797815,0.0,0.0,0.0,0.0080807535,0.00073578284,6.699579e-05
22,0.852428,0.25925925,0.09203383,0.041666668,0.0015690121,0.21985815,0.037124213,0.12953262,0.1953892,0.0,0.0,0.44444445,0.71428573,0.8333333,0.25,0.7368421,1.0,0.0,0.0,0.8437567,0.46054748,0.7047821,0.47786546,0.57880986,0.24751416,0.0,0.0,0.0,0.0497243,0.026873194,0.014523451
23,0.3755973,0.0,0.0,0.0,0.0,0.0028368793,0.00026573494,0.0,0.5,0.0,0.0,0.11111111,0.42857143,0.25,0.875,0.6315789,1.0,0.0,0.0,0.6604787,0.46785417,0.13452844,0.56687725,0.6658299,0.6576479,0.0,0.0,0.0,0.0011695914,3.1446565e-05,8.4549714e-07
24,0.49327704,0.0,0.0,0.0,0.0,0.0028368793,0.0010222979,0.0,0.5,0.0,0.0,0.44444445,0.14285715,0.8333333,0.5,0.7368421,1.0,1.0,0.0,0.33442938,0.6200149,0.49669927,0.36322206,0.6041933,0.26887056,0.0,0.0,0.0,0.0497243,0.0003830565,2.9509167e-06
25,0.4416046,0.0,0.0,0.0,0.0,0.012765957,0.0022352997,0.27777776,0.6111111,0.0,1.0,0.22222222,0.14285715,0.6666667,0.0,0.21052632,1.0,1.0,0.0,0.42218724,0.8392401,0.24513023,0.51155967,0.1528747,0.15269405,0.0,0.0,0.0,0.0080807535,0.00051081704,3.229081e-05
26,0.5352817,0.0,0.0,0.0,0.0,0.031205675,0.010358452,0.05681818,0.21325758,0.0,0.4,0.22222222,0.14285715,0.8333333,0.25,0.21052632,1.0,0.0,0.0,0.5137804,0.5419035,0.38351947,0.8090334,0.5969892,0.30889246,0.0,0.0,0.0,0.0080807535,0.0012374037,0.00018948335
27,0.9452161,0.0,0.0,0.0,0.0,0.028368793,0.00698801,0.049999997,0.14444444,0.0,0.0,1.0,0.42857143,0.8333333,0.75,0.21052632,0.5,0.0,1.0,0.7926896,0.52051437,0.74389535,0.5285526,0.7994031,0.6532735,0.0,0.0,0.0,0.33302465,0.013440138,0.00054241426
28,0.26391822,0.037037037,0.012063258,0.0,0.0,0.008510638,0.0010707554,0.0,0.16666666,0.0,0.4,0.22222222,0.42857143,0.25,0.0,0.21052632,1.0,0.0,0.0,0.46116403,0.32226846,0.085764386,0.6898669,0.72766495,0.3934362,0.0,0.0,0.0,0.0080807535,0.00034126051,1.4411866e-05
29,0.6711857,0.0,0.0,0.0,0.0,0.012765957,0.025416765,0.11111111,0.3888889,0.0,0.0,0.8888889,0.14285715,0.8333333,0.75,0.21052632,1.0,0.0,0.0,0.5906233,0.76286244,0.64750797,0.43284717,0.4600939,0.6223011,0.0,0.0,0.0,0.25724575,0.005130932,0.000102339756
30,0.80131125,0.0,0.0,0.0,0.0,0.034042552,0.0060454695,0.083333336,0.25694445,0.0,0.0,0.8888889,0.14285715,0.083333336,0.0,0.6315789,1.0,0.0,0.0,0.39185527,0.29381832,0.33902103,0.3706262,0.5761063,0.68877965,0.0,0.0,0.0,0.25724575,0.013540417,0.0007127149
31,0.35703966,0.11111111,0.034571532,0.0,0.0,0.019858155,0.004461481,0.0,0.03125,0.0,0.0,0.22222222,0.71428573,0.8333333,0.0,0.21052632,0.5,1.0,0.0,0.4254614,0.39279902,0.46367422,0.026086764,0.63706005,0.107945494,0.0,0.0,0.0,0.0080807535,0.000791825,7.759015e-05
32,0.7936437,0.25925925,0.015417433,0.125,0.079431236,0.07801419,0.031192072,0.016666664,0.12698412,0.006360396,0.0,0.22222222,0.14285715,0.8333333,0.125,0.7368421,1.0,0.0,0.0,0.4507999,0.6764415,0.544237,0.7621859,0.24844682,0.3783526,8.066764e-06,3.0197737e-06,3.5778787e-05,0.0080807535,0.00302501,0.0011324051
33,0.9287699,0.037037037,0.019271791,0.041666668,0.015101741,0.1858156,0.061004374,0.044444446,0.11435185,0.0,0.0,0.8888889,0.71428573,0.8333333,0.75,0.42105263,1.0,0.0,0.0,0.8497707,0.69557124,0.72923696,0.4634373,0.58889866,0.500731,0.0,0.0,0.0,0.25724575,0.068936124,0.018473342
34,0.24913879,0.074074075,0.006767194,0.0,0.0,0.025531914,0.010273782,0.0,0.0625,0.0,0.0,1.0,0.14285715,0.8333333,0.5,0.21052632,0.5,0.0,0.0,0.6680887,0.36388457,0.6506567,0.6245954,0.7638239,0.7598971,0.0,0.0,0.0,0.33302465,0.01211289,0.0004405743
35,0.032225803,0.0,0.0,0.083333336,0.009021819,0.0056737587,0.0009027172,0.0,0.33333334,0.0,0.0,0.8888889,0.14285715,0.5833333,0.75,0.42105263,1.0,0.0,0.0,0.6537667,0.5504041,0.54794514,0.5715878,0.33234507,0.7543273,0.0,0.0,0.0,0.25724575,0.0022884484,2.0357948e-05
36,0.7057451,0.11111111,0.029912958,0.0,0.0,0.031205675,0.0351721,0.0,0.097826086,0.113585256,0.0,0.22222222,0.14285715,0.083333336,0.25,0.42105263,1.0,0.0,1.0,0.36731473,0.3803416,0.23689915,0.56364167,0.6102426,0.71036726,0.0023226587,0.0003556682,0.00010158693,0.0080807535,0.0012374037,0.00018948335
37,0.9032115,0.0,0.0,0.16666667,0.0454229,0.13475177,0.039080672,0.026710406,0.059163168,0.0,0.0,0.8888889,0.42857143,0.25,0.75,0.21052632,1.0,0.0,0.0,0.5831862,0.4281791,0.16093999,0.27623507,0.647842,0.8807577,0.0,0.0,0.0,0.25724575,0.051132116,0.010163408
38,0.4277142,0.0,0.0,0.083333336,0.004707036,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.14285715,0.8333333,0.0,0.21052632,1.0,0.0,0.0,0.52024627,0.3716235,0.7689362,0.4860612,0.42119288,0.4714536,0.0,0.0,0.0,0.33302465,0.0,0.0
39,0.9715524,0.074074075,0.0070025744,0.0,0.0,0.008510638,0.0021133742,0.0,0.125,0.0,0.0,0.6666667,0.14285715,0.5833333,0.75,0.42105263,0.5,0.0,0.0,0.7168893,0.5766614,0.688438,0.5488207,0.92297524,0.68602103,0.0,0.0,0.0,0.13329633,0.0022113812,3.6686728e-05
40,0.7296366,0.0,0.0,0.0,0.0,0.015602837,0.0032153926,0.0,0.11111111,0.06546489,0.0,1.0,0.42857143,0.25,0.0,0.57894737,0.5,0.0,1.0,0.4940319,0.26686123,0.47895473,0.33010036,0.69122666,0.7403529,0.0027871297,6.2254214e-05,1.519987e-05,0.33302465,0.007438544,0.00016614968
41,0.40526724,0.25925925,0.031031016,0.0,0.0,0.06241135,0.012176392,0.0,0.020833334,0.13170218,0.0,0.5555556,0.14285715,0.8333333,0.125,0.21052632,0.5,0.0,1.0,0.6340684,0.23860423,0.6778271,0.6819346,0.9108913,0.61475736,0.006763287,0.0009267242,0.00045347275,0.08625292,0.011818613,0.0016194189
42,0.5529503,0.2962963,0.1448817,0.16666667,0.15062515,0.07375886,0.07345661,0.036290325,0.091167435,0.03857442,0.0,0.11111111,0.14285715,0.8333333,0.0,0.21052632,1.0,0.0,1.0,0.53451395,0.58475685,0.67121327,0.8954539,0.37855202,0.30694985,0.0001509344,0.00010194811,0.00019168724,0.0011695914,0.0007899965,0.00053360045
43,0.36370707,0.14814815,0.021007724,0.0,0.0,0.019858155,0.007024781,0.14999999,0.38333333,0.0,0.0,0.5555556,0.42857143,0.25,0.0,0.6315789,1.0,0.0,0.0,0.59425694,0.22269413,0.26637283,0.38782138,0.5196284,0.60427266,0.0,0.0,0.0,0.08625292,0.0038386383,0.00017083646
44,0.6850761,0.22222222,0.070418045,0.0,0.0,0.04397163,0.029311648,0.0,0.12662336,0.07591351,0.0,0.8888889,0.42857143,0.25,0.0,0.21052632,1.0,0.0,0.0,0.47893453,0.106929466,0.23521398,0.3055779,0.6564215,0.7749157,0.0034049978,0.00023038934,0.00013549512,0.25724575,0.017405793,0.0011777127
45,0.9534393,0.18518518,0.056785583,0.041666668,0.005099289,0.09361702,0.032036044,0.02244898,0.06382653,0.10230166,0.0,0.11111111,0.71428573,0.8333333,0.75,0.42105263,1.0,1.0,0.0,0.4068873,0.6798745,0.40889052,0.11279452,0.70802087,0.2420278,0.0009995376,0.0008489812,0.00078003586,0.0011695914,0.0009934206,0.0008437856
46,0.98088676,0.11111111,0.01765355,0.0,0.0,0.041134752,0.02886562,0.03448276,0.2007389,0.0,0.0,0.22222222,0.71428573,0.8333333,0.875,0.10526316,1.0,0.0,0.0,0.7928605,0.73969537,0.61107945,0.7017981,0.67577,0.3793034,0.0,0.0,0.0,0.0080807535,0.0016232802,0.00032608828
47,0.6467385,0.14814815,0.039838172,0.0,0.0,0.0028368793,0.0007315526,0.0,0.1875,0.0,0.0,0.6666667,0.42857143,0.25,1.0,0.21052632,1.0,0.0,1.0,0.6296025,0.41384453,0.17291464,0.38849637,0.69481593,0.88803065,0.0,0.0,0.0,0.13329633,0.0007392009,4.0992727e-06
48,0.91310143,0.037037037,0.020478116,0.0,0.0,0.06524823,0.020202884,0.021739129,0.02777778,0.0,0.0,0.5555556,0.71428573,0.8333333,0.0,0.21052632,1.0,1.0,0.0,0.52813226,0.42857575,0.6002169,0.09769133,0.6597412,0.24642101,0.0,0.0,0.0,0.08625292,0.012339201,0.0017652258
49,0.7201911,0.0,0.0,0.0,0.0,0.009929078,0.003079399,0.0,0.21428572,0.0,0.0,1.0,0.14285715,0.8333333,0.75,0.21052632,0.5,0.0,0.0,0.7462711,0.49722427,0.69640905,0.5843454,0.89399403,0.71891916,0.0,0.0,0.0,0.33302465,0.00474692,6.7662404e-05
50,0.6926325,0.0,0.0,0.0,0.0,0.017021276,0.0037703097,0.25,0.27083334,0.0,1.0,0.22222222,0.71428573,0.8333333,0.125,0.36842105,1.0,1.0,0.0,0.4650147,0.885729,0.24061644,0.48839757,0.08418555,0.24297626,0.0,0.0,0.0,0.0080807535,0.0006796579,5.7164834e-05
51,0.43938217,0.0,0.0,0.0,0.0,0.04539007,0.008700474,0.072916664,0.19791666,0.0,0.0,0.11111111,0.14285715,0.8333333,0.75,0.42105263,1.0,0.0,0.0,0.578433,0.72393334,0.4009396,0.726568,0.543861,0.56935644,0.0,0.0,0.0,0.0011695914,0.00049276825,0.00020761142
52,0.5138349,0.037037037,0.18055658,0.0,0.0,0.0056737587,0.014959314,0.8095238,0.4814935,0.0,0.0,0.11111111,0.71428573,0.8333333,0.875,0.2631579,1.0,0.0,0.0,0.7999588,0.6296541,0.38632157,0.50575334,0.5297999,0.3915626,0.0,0.0,0.0,0.0011695914,6.2805615e-05,3.3725833e-06
53,0.52128017,0.0,0.0,0.0,0.0,0.0056737587,0.00040641814,0.25,0.5,0.0,0.4,0.22222222,0.14285715,0.8333333,0.0,0.7368421,1.0,0.0,0.0,0.52523726,0.4308387,0.30458802,0.72843045,0.40420824,0.23036593,0.0,0.0,0.0,0.0080807535,0.00022782962,6.4234528e-06
54,0.79942214,0.0,0.0,0.0,0.0,0.07092199,0.019258387,0.0,0.008333335,0.6024223,0.0,0.22222222,0.14285715,0.8333333,0.5,0.21052632,0.5,0.0,1.0,0.5326295,0.60246176,0.640511,0.7753896,0.87807953,0.48104984,0.04461465,0.015233886,0.002213763,0.0080807535,0.002759212,0.00094214623
55,0.3220358,0.0,0.0,0.0,0.0,0.0014184397,0.00020320907,0.0,0.5,0.0,0.0,0.11111111,0.14285715,0.8333333,0.75,0.42105263,1.0,0.0,0.0,0.6179309,0.6138177,0.38830906,0.6500914,0.56738955,0.588007,0.0,0.0,0.0,0.0011695914,1.5735077e-05,2.1169154e-07
56,0.6125125,0.0,0.0,0.0,0.0,0.014184397,0.003958669,0.0,0.099999994,0.0,0.0,1.0,0.71428573,0.8333333,0.0,0.2631579,1.0,0.0,0.0,0.73701364,0.34009156,0.87022674,0.48100698,0.553046,0.424142,0.0,0.0,0.0,0.33302465,0.0067670364,0.00013750569
57,0.68374264,0.0,0.0,0.0,0.0,0.012765957,0.002579192,0.0,0.11111111,0.0,1.0,0.22222222,0.14285715,0.8333333,0.25,0.36842105,1.0,1.0,0.0,0.4703889,0.8749421,0.27690455,0.5306119,0.08358752,0.11904508,0.0,0.0,0.0,0.0080807535,0.00051081704,3.229081e-05
58,0.025225025,0.0,0.0,0.0,0.0,0.11205674,0.024429899,0.088607594,0.1062387,0.0,0.8,0.22222222,0.71428573,0.8333333,0.0,0.7368421,1.0,0.0,0.0,0.8272693,0.3666364,0.37039107,0.733603,0.5851749,0.25244826,0.0,0.0,0.0,0.0080807535,0.00427699,0.0022637304
59,0.1894655,0.0,0.0,0.0,0.0,0.0014184397,0.0,1.0,1.0,0.0,0.0,0.0,0.14285715,0.8333333,0.375,0.6315789,1.0,0.0,0.0,0.6738016,0.5630799,0.26757056,0.5241648,0.31545615,0.39423493,0.0,0.0,0.0,0.0,0.0,0.0
60,0.7501945,0.14814815,0.051195294,0.041666668,0.0072566806,0.015602837,0.004781275,0.0,0.00854701,0.0,0.0,0.11111111,0.42857143,0.8333333,0.75,0.57894737,0.5,1.0,0.0,0.31752396,0.6367426,0.4872415,0.117708325,0.71275777,0.16881377,0.0,0.0,0.0,0.0011695914,0.00017186726,2.5255275e-05
61,0.28647628,0.0,0.0,0.041666668,0.0051385146,0.08794326,0.029996263,0.0515873,0.11123321,0.0,0.0,0.5555556,0.14285715,0.083333336,0.0,0.36842105,1.0,0.0,0.0,0.4435327,0.21864304,0.34890455,0.54530144,0.44310275,0.701912,0.0,0.0,0.0,0.08625292,0.016454589,0.0031390642
62,0.25447273,0.22222222,0.12239794,0.083333336,0.047462612,0.13333334,0.045044955,0.030612245,0.12670068,0.0,0.0,0.8888889,0.71428573,0.8333333,0.625,0.7368421,1.0,0.0,0.0,0.94261175,0.5601741,0.68065447,0.5192459,0.37275553,0.54474145,0.0,0.0,0.0,0.25724575,0.050626192,0.009963279
63,0.99355483,0.037037037,0.0012749786,0.0,0.0,0.004255319,0.00022405102,0.033333335,0.37222221,0.0,0.0,0.33333334,0.0,0.8333333,0.0,0.15789473,1.0,1.0,1.0,0.45070478,0.50514555,0.62675375,0.1786945,0.4094507,0.22666033,0.0,0.0,0.0,0.02380886,0.00035142526,5.187133e-06
64,0.952328,0.18518518,0.13357852,0.041666668,0.006668301,0.041134752,0.02367542,0.11111111,0.14556277,0.0,0.0,0.22222222,0.71428573,0.8333333,0.0,0.10526316,1.0,0.0,0.0,0.74090046,0.40921038,0.77490515,0.6146615,0.703955,0.2352204,0.0,0.0,0.0,0.0080807535,0.0016232802,0.00032608828
65,0.02122458,0.11111111,0.014564178,0.0,0.0,0.038297873,0.010983343,0.077586204,0.13577586,0.0,0.0,0.8888889,0.71428573,0.8333333,0.75,0.6315789,1.0,0.0,0.0,0.9260036,0.4721213,0.61371624,0.5337451,0.3961825,0.5997629,0.0,0.0,0.0,0.25724575,0.015201524,0.0008983096
66,0.648961,0.14814815,0.12681133,0.0,0.0,0.008510638,0.009675878,0.0,0.125,0.0,0.0,0.22222222,0.42857143,0.9166667,0.625,0.7894737,1.0,0.0,0.0,0.89632756,0.54278004,0.45183805,0.671796,0.7881687,0.40341592,0.0,0.0,0.0,0.0080807535,0.00034126051,1.4411866e-05
67,0.05889543,0.4074074,0.07363001,0.0,0.0,0.2397163,0.1293706,0.012032084,0.08025983,0.028389027,0.0,0.8888889,0.0,0.25,0.0,0.57894737,1.0,1.0,0.0,0.1299915,0.5718496,0.5997087,0.73103523,0.5985585,0.43979412,0.0004983829,0.00016838945,0.0012925852,0.25724575,0.086916044,0.029366467
68,0.8626514,0.11111111,0.030481795,0.0,0.0,0.04255319,0.006886182,0.032258064,0.10752688,0.0,0.0,0.5555556,0.14285715,0.8333333,0.625,0.42105263,1.0,1.0,0.0,0.29555532,0.6896531,0.61837727,0.20272149,0.6649142,0.38248083,0.0,0.0,0.0,0.08625292,0.008135185,0.00076729263
69,0.31081232,0.0,0.0,0.0,0.0,0.025531914,0.0054173456,0.14814815,0.3148148,0.0,0.0,0.8888889,0.14285715,0.8333333,0.75,0.21052632,1.0,0.0,0.0,0.62531483,0.653183,0.6341633,0.49669448,0.43616572,0.70530295,0.0,0.0,0.0,0.25724575,0.010197545,0.00040424356
70,0.16224025,0.074074075,0.0029422583,0.041666668,0.006668301,0.029787235,0.02575284,0.0,0.06521739,0.0,0.0,0.22222222,0.14285715,0.8333333,0.25,0.36842105,1.0,0.0,0.0,0.5290334,0.41438526,0.5237152,0.82911694,0.48538488,0.53859377,0.0,0.0,0.0,0.0080807535,0.0011819741,0.00017288771
71,0.47605288,0.0,0.0,0.0,0.0,0.009929078,0.0046425457,0.14285713,0.35714287,0.0,0.8,0.22222222,0.42857143,0.25,0.0,0.42105263,1.0,0.0,0.0,0.506229,0.37280136,0.124866575,0.6150631,0.64146376,0.37873724,0.0,0.0,0.0,0.0080807535,0.0003978587,1.9588713e-05
72,0.032336928,0.11111111,0.035380654,0.20833333,0.34086785,0.05957447,0.03230911,0.086956516,0.24094203,0.061491977,0.0,0.22222222,0.14285715,0.8333333,0.25,0.36842105,1.0,0.0,0.0,0.6108966,0.35270166,0.53057116,0.8614899,0.55343986,0.46129692,0.0007146199,0.0002060749,0.00019983128,0.0080807535,0.0023302464,0.000671973
73,0.7090788,0.037037037,0.0038249355,0.0,0.0,0.014184397,0.0061251903,0.09027778,0.23492064,0.0,0.0,0.11111111,0.71428573,0.8333333,0.25,0.6315789,1.0,1.0,0.0,0.45838654,0.59211797,0.42464536,0.17384084,0.61726487,0.14744991,0.0,0.0,0.0,0.0011695914,0.00015635211,2.0901298e-05
74,0.31947994,0.18518518,0.0979772,0.083333336,0.065114,0.017021276,0.0023744197,0.15555556,0.32222223,0.0,0.0,0.11111111,0.14285715,0.8333333,0.0,0.42105263,1.0,0.0,0.0,0.5093347,0.40423867,0.5769545,0.8937486,0.2374573,0.41053557,0.0,0.0,0.0,0.0011695914,0.00018736077,3.0013944e-05
75,0.49149907,0.14814815,0.013669241,0.0,0.0,0.11631206,0.044950094,0.0,0.036337208,0.09639696,0.0,0.8888889,0.14285715,0.083333336,0.75,0.42105263,1.0,0.0,1.0,0.5068665,0.4502738,0.31793576,0.44746515,0.48602623,0.91166776,0.005386436,0.0009318904,0.0011141703,0.25724575,0.044505283,0.00769972
76,0.15023892,0.0,0.0,0.0,0.0,0.0028368793,0.0039516347,0.0,0.5,0.0,0.0,0.7777778,0.14285715,0.5833333,0.5,0.7368421,1.0,1.0,0.0,0.3783423,0.45886704,0.5258364,0.33993074,0.71022344,0.47162136,0.0,0.0,0.0,0.19047081,0.0009377837,4.617181e-06
77,0.8078675,0.0,0.0,0.0,0.0,0.011347517,0.002244418,0.07142857,0.25,0.0,0.0,0.8888889,0.14285715,0.8333333,0.75,0.42105263,1.0,0.0,0.0,0.56813437,0.8270535,0.618498,0.46059555,0.33587772,0.5841209,0.0,0.0,0.0,0.25724575,0.004564022,8.097431e-05
78,0.2828092,0.0,0.0,0.0,0.0,0.019858155,0.0024448356,0.07142857,0.25,0.0,0.0,0.8888889,0.14285715,0.5833333,0.75,0.21052632,1.0,0.0,0.0,0.6158003,0.6514355,0.6391022,0.50505066,0.44298545,0.7297583,0.0,0.0,0.0,0.25724575,0.007953534,0.00024590763
79,0.5677298,0.0,0.0,0.0,0.0,0.011347517,0.00064297434,0.125,0.3125,0.0,0.0,0.44444445,0.14285715,0.8333333,0.5,0.42105263,1.0,0.0,0.0,0.5711594,0.69796294,0.5096879,0.6077788,0.43036386,0.5472067,0.0,0.0,0.0,0.0497243,0.0015257898,4.681885e-05
80,0.26802978,0.0,0.0,0.0,0.0,0.0014184397,0.0,1.0,1.0,0.0,0.0,0.11111111,0.14285715,0.8333333,0.0,0.21052632,1.0,0.0,0.0,0.6579844,0.45138374,0.2652664,0.4435409,0.2727715,0.3128806,0.0,0.0,0.0,0.0011695914,1.5735077e-05,2.1169154e-07
81,0.48960996,0.22222222,0.06430936,0.0,0.0,0.04964539,0.027520964,0.0,0.06875,0.058404252,0.0,0.8888889,0.14285715,0.8333333,0.75,0.21052632,1.0,0.0,1.0,0.6417537,0.76772296,0.77272224,0.62455356,0.41392547,0.67456716,0.00204913,0.00015611171,0.00013325727,0.25724575,0.019598112,0.0014930703
